Cue,Field_Key,Category,Possible_Values,How_To_Spot,Example_Differentiates
Headlight,Headlight,Lighting,"Halogen Bulb, LED, LED with DRL, Projector LED, Bi-LED","Yellow-ish round bulb glow = Halogen; crisp white / strip = LED; lens projector pod = Projector","Pulsar NS125 Standard (Halogen) vs Bluetooth (LED); Ntorq Drum/Disc (Halogen) vs Race/XP/XT (LED)"
Tyre,Tyre,Wheels & Tyres,"Tube Type, Tubeless","Check sidewall marking 'TUBELESS' / 'TUBE TYPE'; tubeless usually paired with alloy wheels","Higher trims usually move to tubeless + alloy"
Alloy / Wheel Type,Wheel Type,Wheels & Tyres,"Alloy, Spoke, Steel","Cast multi-spoke one-piece = Alloy; wire spokes = Spoke; pressed steel rim with cover = Steel","Classic 350 ABS (Spoke) vs Gunmetal/Stealth (Alloy); Jupiter Standard (Steel) vs ZX (Alloy); Activa Standard (Steel) vs Deluxe (Alloy)"
Colour / Paint Scheme,Colour,Cosmetics,"Single Tone, Dual Tone, Single Tone (Fade), Chrome Tank, Blacked-out, Military / Signals theme, Dark theme, Special / Graphics edition","Read the tank/panel paint and graphics","Hunter Metro Dapper vs Rebel; Classic Heritage vs Heritage Premium vs Signals"
ABS,Abs,Brakes,"Non-ABS, CBS, Single Channel, Dual Channel","ABS sticker/decal; ABS ring on disc; CBS = combined cable to both wheels; count ABS sensors (1 = single, 2 = dual)","Hunter Retro Factory (Single) vs Metro (Dual); Bullet Military (Single) vs Standard (Dual)"
Self Start vs Kick,KICK_AND_IGNITION_SYSTEM,Ignition,"Kick Only, Electric (Self) Start Only, Kick + Electric Start","Look for an electric start button on the right switchgear and/or a kick lever","Classic 350 KS vs ES; Bullet 350 vs Bullet 350 ES"
Meter Type,Meter Type,Instrumentation,"Analogue, Semi-Digital, Digital, LCD Display, TFT, SmartXonnect (Bluetooth), Tripper Navigation","Full needle dials = Analogue; needle + LCD = Semi-Digital; full screen = Digital/TFT; nav pod = Tripper","Apache LCD vs SmartXonnect; Classic Heritage (Semi-Digital) vs Dark (Tripper)"
Odometer Type,Odometer Type,Instrumentation,"Analogue (mechanical roller), Digital (LCD readout)","Mechanical number drum = Analogue; LCD digits = Digital","Tracks with Meter Type; analogue clusters carry mechanical odo"
Braking Type,Braking Type,Brakes,"Drum-Drum, Disc-Drum, Disc-Disc","Combination of front and rear brake type (see Front/Rear Brake fields)","Apache RM Drum (Disc-Drum) vs RM Disc (Disc-Disc)"
Front Brake,Front Brake Type,Brakes,"Drum, Disc","Disc rotor visible at front wheel vs enclosed drum hub","Ntorq Drum vs Disc; Jupiter 125 Drum vs Disc - Alloy"
Rear Brake,Rear Brake Type,Brakes,"Drum, Disc","Disc rotor visible at rear wheel vs enclosed drum hub","Bullet Military (Drum) vs Standard (Disc)"
Disc,Disc,Brakes,"Front Disc Only, Front + Rear Disc, No Disc (Drum-Drum)","Count visible disc rotors on the wheels","Distinguishes drum/single-disc/double-disc trims"
Key Type,Smart Key,Electricals,"Standard Key, Smart Key (Keyless)","Smart key has no metal blade slot; proximity fob / engine button","Activa 6G Deluxe (Standard) vs H-Smart (Smart Key)"
Backrest,Backrest,Comfort & Accessories,"No, Yes, Small, Large","Pillion backrest pad/rail behind the seat","Meteor Fireball (No) vs Stellar/Aurora/Supernova (Yes); Jupiter Standard vs Classic"
USB Charging Port,Usb Charging Port,Electricals,"No, Yes","USB socket usually near handlebar / glovebox","Pulsar NS125 Standard (No) vs Bluetooth (Yes)"
Lights & Bulbs,LIGHTS_AND_BULBS,Lighting,"Halogen Headlamp, LED Headlamp, LED DRL, LED Tail Lamp, LED Position Lamp","Inspect headlamp, tail lamp and DRL element type","Higher trims add LED head/tail/DRL"
Indicator,LED Indicators,Lighting,"Bulb (Halogen) Indicators, LED Indicators","Amber bulb vs LED turn-signal element","Classic Heritage (No LED) vs Dark/Chrome (LED)"
Silencer / Exhaust,Silencer,Cosmetics,"Standard Chrome, Blacked-out, Tip / End-can design, Dual Exhaust","Finish and shape of the muffler / end can","Classic Signals & Dark have blacked-out exhaust"
Rider Seat,RIDER_SEAT,Comfort & Accessories,"Single-piece Seat, Split Seat","One continuous seat vs separate rider section","Raider Split Seat variants; sportier trims use split seats"
Pillion Seat,PILLION_SEAT,Comfort & Accessories,"Single-piece Seat, Split Seat, Seat with Grab Rail","Continuous vs separate raised pillion pad; grab rail type","Distinguishes touring/comfort trims"
Rear Brake Lever,RR_BRAKE_LEVER,Controls,"Standard, Adjustable","Adjustable lever has a numbered span adjuster dial","Premium trims add adjustable levers"
Clutch Lever,CLUTCH_LEVER,Controls,"Standard, Adjustable","Adjustable lever has a numbered span adjuster dial","Classic Heritage (No) vs Dark/Chrome (Adjustable Levers); Meteor lever spec"
Adjustable Levers,Adjustable Levers,Controls,"No, Yes","Combined brake + clutch lever adjusters present","Classic 350 2024-26 Heritage (No) vs Chrome/Emerald (Yes); Meteor Aurora/Supernova (Yes)"
Luggage Box,Luggage Box,Comfort & Accessories,"No, Front Glove Box, External Rear Box, Under-seat Storage","Front utility box, top box mount, or boot space","Accessory/utility trims add storage"
Chrome,Chrome,Cosmetics,"Standard, Chrome Tank, Chrome Trim / Garnish, Blacked-out","Bright chrome on tank/mudguard/exhaust vs matte blacked-out parts","Classic Chrome vs Dark; Hunter / Bullet chrome trims"
Leg Guard,Leg Guard,Comfort & Accessories,"No, Yes","Tubular guard / crash bar around the engine and legs","Accessory-fitted or touring trims"
Manufacturing Year,Manufacturing Year,Generation,"2017 & earlier, 2018-2020, 2021-2023, 2024-2026, model-specific buckets","VIN / RC year; decides which variant generation applies","Classic 350 generations (UCE vs J-platform)"
Manufacturing Month,Manufacturing Month,Generation,"<5 (Jan-May), >=6 (Jun-Dec)","RC / build plate month; used for mid-year refreshes","Hunter 350 old vs new generation split within 2025"
